# ROUND 2 — fill the 'intent' and 'confidence' columns below,
# then save this file as: LABELLED_annotator_b_round2.csv
# intent must be one of: promise_to_pay, payment_claim, dispute, document_request, process_deflection, hardship, refusal, acknowledgement, unclear  |  confidence must be 'clear' or 'ambiguous'  |  see docs/CODEBOOK.md  |  do NOT discuss items with the other annotator until both files are complete
item_id,scenario,reply,intent,promised_date_raw,promised_date_resolved,disputed_amount,claimed_utr,documents_requested,confidence
r11_i01,"The GST number printed on the bill is wrong, so your accounts team cannot process it. The supplier is asking why payment is delayed. You have only recently started buying from them.","GST no galat printed hai bill pe, isliye accounts ne hold kiya hai. corrected bill bhej dena",,,,,,,
r07_i03,Two of the cartons in the last delivery arrived crushed and you had to reject them. Nobody has sent you a corrected bill. The supplier is asking for full payment. The bill is about three weeks overdue.,"2 cartons damaged aaye the aur reject kiye the, revised bill abhi tak nahi mila",,,,,,,
r04_i07,You paid this bill a few days ago by bank transfer. The supplier seems not to have noticed and is asking again. The supplier has messaged you once before about this.,payment already kar diya tha bank transfer se few days back. please check once,,,,,,,
r11_i03,The rate on the bill is higher than what was agreed in the purchase order. The supplier is chasing payment. You have only recently started buying from them.,PO me jo rate tha usse invoice ka rate different hai. please correct karke bhejo,,,,,,,
r01_i01,You need the e-way bill and delivery challan copies to process this. You don't have them. The supplier is asking for payment.,"e way bill aur challan ki copy nahi mili abhi, accounts ko chahiye. bhej do pls",,,,,,,
r03_i06,This is a small supplier and you have bigger payments to worry about this month. You are not planning to pay them yet. They have messaged you again.,"abhi is month cash thoda tight hai, pehle kuch urgent payments clear karne hain",,,,,,,
r04_i04,The quality of this batch was not up to standard and your production team has complained. You have not paid. The supplier has messaged. The supplier has messaged you once before about this.,quality issue ke wajah se payment roka hua hai. production team ne batch approve nahi kiya,,,,,,,
r02_i05,You have no particular reason for not paying and no clear plan for when you will. The supplier has messaged asking for an update. The supplier has messaged you once before about this.,"haan dekhta hu, abhi exact kuch confirm nahi kar paunga",,,,,,,
r01_i02,Your company requires all supplier bills to be uploaded to a vendor portal. This one is not showing up there. The supplier says they sent it by email. You have a long-standing relationship with this supplier.,mail pe toh aa gaya hai but portal me show nahi ho raha. ek baar portal pe upload karwa do,,,,,,,
r02_i03,"The goods receipt note has not been entered by your stores team yet, so the bill cannot move forward. The supplier is following up. The bill is more than three months overdue.","GRN abhi stores se enter nahi hua hai, isi wajah se payment process nahi ho pa raha",,,,,,,
r03_i07,The quality of this batch was not up to standard and your production team has complained. You have not paid. The supplier has messaged. This is the first time they have contacted you about it.,"batch ki quality ko leke production se complaint aayi hai, isliye payment hold kiya hai. ek baar discuss karte hain",,,,,,,
r04_i05,Your owner signs off on all payments above a certain amount and he is travelling until next week. The supplier wants to know when it will be released.,owner approval pending hai aur woh next week tak travel pe hain. uske baad release hoga,,,,,,,
r05_i01,"The GST number printed on the bill is wrong, so your accounts team cannot process it. The supplier is asking why payment is delayed. You have only recently started buying from them.","bill me GST number galat hai, accounts wale process nahi kar pa rahe. correct invoice bhej do",,,,,,,
