item_id,scenario,reply,intent,promised_date_raw,promised_date_resolved,disputed_amount,claimed_utr,documents_requested,confidence
h04_i08,You are waiting for your GST filing to be done before releasing payments this month. The supplier has followed up for the second time.,"filing ka wait chal raha hai, GST complete hote hi payments release karenge",process_deflection,,,,,,clear
h03_i01,Two of the cartons in the last delivery arrived crushed and you had to reject them. Nobody has sent you a corrected bill. The supplier is asking for full payment. The bill is more than three months overdue.,"damaged cartons ka issue tha na, uska revised bill nahi aaya abhi. woh bhej do",dispute,,,,,revised bill,clear
h02_i02,You paid roughly half of what is owed last week and plan to pay the rest later. The supplier is asking for the full amount. This is the first time they have contacted you about it.,around half last week de diya tha. remaining next payment me kar denge,promise_to_pay,next payment,,,,,clear
h05_i01,Two of the cartons in the last delivery arrived crushed and you had to reject them. Nobody has sent you a corrected bill. The supplier is asking for full payment. The bill is more than three months overdue.,haan isme 2 carton damaged the so we rejected them. corrected bill nahi mila abtak,dispute,,,,,corrected bill,clear
h04_i06,You received less material than what the bill says. The supplier is following up on the full amount. The bill is about three weeks overdue.,"received qty kam thi bhai, invoice ek baar recheck karo",dispute,,,,,invoice recheck,clear
h05_i04,You are not sure whether this bill has been paid or not and you need to check with your accounts person. The supplier is asking. You have a long-standing relationship with this supplier.,"ek baar accounts se dekhna padega, paid hai ya pending not sure",acknowledgement,,,,,,clear
h02_i06,You received less material than what the bill says. The supplier is following up on the full amount. The bill is about three weeks overdue.,"quantity match nahi ho rahi invoice se, delivery kam thi",dispute,,,,,,clear
h03_i05,"You could manage the payment if you were allowed to split it over a few months, but not in one go. The supplier is asking for the whole amount. You have a long-standing relationship with this supplier.","full payment abhi possible nahi hai, thoda instalment me karna padega",hardship,,,,,,clear
h05_i02,You paid roughly half of what is owed last week and plan to pay the rest later. The supplier is asking for the full amount. This is the first time they have contacted you about it.,"last week aadha pay kar diya tha, remaining thode din me kar denge",payment_claim,,,,roughly half,,clear
h03_i04,You are not sure whether this bill has been paid or not and you need to check with your accounts person. The supplier is asking. You have a long-standing relationship with this supplier.,honestly yaad nahi payment hua tha ya nahi 😅 accounts se puch ke bataunga,acknowledgement,,,,,,clear
h01_i07,You genuinely forgot about this bill. It is a small amount and you can pay it quickly. The supplier has just messaged. The bill is about three weeks overdue.,haan ye reh gaya tha meri side se 😅 abhi payment karwa deta hu,promise_to_pay,abhi,,,,,clear
h03_i08,You are waiting for your GST filing to be done before releasing payments this month. The supplier has followed up for the second time.,"GST filing hone ka wait hai, uske baad pending payments release honge",process_deflection,,,,,,clear
h03_i03,Your company requires all supplier bills to be uploaded to a vendor portal. This one is not showing up there. The supplier says they sent it by email.,"portal wala issue hai, email se invoice aa gaya but system me nahi dikh raha",document_request,,,,,portal upload,clear
h05_i03,Your company requires all supplier bills to be uploaded to a vendor portal. This one is not showing up there. The supplier says they sent it by email.,invoice mail pe mila tha but vendor portal me nahi aa raha,document_request,,,,,vendor portal upload,clear
h04_i03,Your company requires all supplier bills to be uploaded to a vendor portal. This one is not showing up there. The supplier says they sent it by email.,"email pe bhejna enough nahi hai hamare yaha, portal pe upload karna padta hai",document_request,,,,,portal upload,clear
h02_i08,You are waiting for your GST filing to be done before releasing payments this month. The supplier has followed up for the second time.,"GST ka kaam complete nahi hua abhi, isliye iss month ka payment rukha hua hai",process_deflection,,,,,,clear
h04_i05,"You could manage the payment if you were allowed to split it over a few months, but not in one go. The supplier is asking for the whole amount. You have a long-standing relationship with this supplier.",abhi full amount arrange nahi hoga. agar instalments me chalega toh manage kar lenge,hardship,,,,,,clear
h04_i01,Two of the cartons in the last delivery arrived crushed and you had to reject them. Nobody has sent you a corrected bill. The supplier is asking for full payment. The bill is more than three months overdue.,"2 cartons crush ho gaye the delivery me, isliye reject kiye. revised bill send karo",dispute,,,,,revised bill,clear
h01_i03,Your company requires all supplier bills to be uploaded to a vendor portal. This one is not showing up there. The supplier says they sent it by email.,mail pe mila tha but portal pe show nahi ho raha. portal pe upload kar do pls,document_request,,,,,portal upload,clear
h03_i07,You genuinely forgot about this bill. It is a small amount and you can pay it quickly. The supplier has just messaged. The bill is about three weeks overdue.,arre haan ye bill miss ho gaya tha. abhi dekh ke payment kar deta hu,promise_to_pay,abhi,,,,,clear
h02_i01,Two of the cartons in the last delivery arrived crushed and you had to reject them. Nobody has sent you a corrected bill. The supplier is asking for full payment. The bill is more than three months overdue.,bhai 2 carton damaged the aur humne accept nahi kiye. corrected invoice bhejo fir payment karte hai,dispute,,,,,corrected invoice,clear
h02_i07,You genuinely forgot about this bill. It is a small amount and you can pay it quickly. The supplier has just messaged. The bill is about three weeks overdue.,"sorry yaar completely miss ho gaya tha. chota amount hai, aaj hi kar deta hu",promise_to_pay,aaj hi,,,,,clear
h01_i06,You received less material than what the bill says. The supplier is following up on the full amount. The bill is about three weeks overdue.,"bill me quantity zyada hai, hume actual me kam material mila tha. ek baar check karo",dispute,,,,,,clear
h01_i08,You are waiting for your GST filing to be done before releasing payments this month. The supplier has followed up for the second time.,GST filing pending hai isliye payments hold pe hain abhi. ho jayega toh release kar denge,process_deflection,,,,,,clear
h04_i07,You genuinely forgot about this bill. It is a small amount and you can pay it quickly. The supplier has just messaged. The bill is about three weeks overdue.,oh sorry ye toh meri nazar se nikal gaya tha. payment karwa deta hu,promise_to_pay,,,,,,clear
h04_i02,You paid roughly half of what is owed last week and plan to pay the rest later. The supplier is asking for the full amount. This is the first time they have contacted you about it.,"half payment toh kar diya hai last week, baki thoda late hoga",promise_to_pay,baki thoda late hoga,,,,,clear
h05_i06,You received less material than what the bill says. The supplier is following up on the full amount. The bill is about three weeks overdue.,bill ki quantity aur received quantity different hai. kam material mila tha,dispute,,,,,,clear
