# intent must be one of: promise_to_pay, payment_claim, dispute, document_request, process_deflection, hardship, refusal, acknowledgement, unclear  |  confidence must be 'clear' or 'ambiguous'  |  see docs/CODEBOOK.md  |  do NOT discuss items with the other annotator until both files are complete
item_id,scenario,reply,intent,promised_date_raw,promised_date_resolved,disputed_amount,claimed_utr,documents_requested,confidence
w04_i03,"The GST number printed on the bill is wrong, so your accounts team cannot process it. The supplier is asking why payment is delayed. They have been following up regularly for over a month now.","The delay is because the GST number on the invoice doesn't match our records, so accounts has kept it on hold. Please send a corrected invoice and we'll move it ahead.",,,,,,,
w05_i02,"Your accounts team cannot find the purchase order number for this bill, so it is stuck. The supplier is asking about payment. The supplier has messaged you once before about this.","Accounts is unable to trace the PO against this invoice, so the payment hasn't been processed. If you can send me the PO number, I'll get it checked.",,,,,,,
w01_i03,Your company requires all supplier bills to be uploaded to a vendor portal. This one is not showing up there. The supplier says they sent it by email.,"I can see the email, but the invoice isn't appearing on our vendor portal. We need it uploaded there before accounts can take it forward. Could you please upload it?",,,,,,,
w05_i05,Two of the cartons in the last delivery arrived crushed and you had to reject them. Nobody has sent you a corrected bill. The supplier is asking for full payment. This is the first time they have contacted you about it.,"Two cartons were damaged when they arrived and were rejected, so the full invoice amount isn't correct. We haven't received the revised bill yet. Please send the updated invoice and we'll process it.",,,,,,,
w04_i02,You have received a formal-sounding notice from this supplier mentioning legal provisions about delayed payment to small enterprises. The supplier has messaged you once before about this.,We've received your notice and are looking into the matter internally. I'll speak with the concerned team and come back to you regarding the outstanding payment.,,,,,,,
w05_i03,"The GST number printed on the bill is wrong, so your accounts team cannot process it. The supplier is asking why payment is delayed. The bill is about three weeks overdue.",The payment is pending because the GST number on the bill is incorrect. Please issue a fresh invoice with the correct number and we'll submit it again.,,,,,,,
w03_i08,"You could manage the payment if you were allowed to split it over a few months, but not in one go. The supplier is asking for the whole amount. The bill is more than three months overdue.","I know this has been pending for a while. We can't manage the full amount together, but we can pay it in parts over the next few months. Let me know if that arrangement can work.",,,,,,,
w08_i06,This is a small supplier and you have bigger payments to worry about this month. You are not planning to pay them yet. They have messaged you again. The bill is more than three months overdue.,"I understand you've been waiting on this. We've got some larger payments taking priority this month, so I won't be able to release this one immediately. I'll update you once we can schedule it.",,,,,,,
w06_i02,You are waiting for your GST filing to be done before releasing payments this month. The supplier has followed up for the second time. They have been following up regularly for over a month now.,I understand the delay has been frustrating. We're waiting for the GST filing to be completed before this month's payments can go out. We'll take this up immediately after that.,,,,,,,
w01_i08,You are waiting for your GST filing to be done before releasing payments this month. The supplier has followed up for the second time.,"We're waiting for this month's GST filing to be completed before releasing the payments. It should be sorted soon, and we'll process your bill after that.",,,,,,,
w08_i03,"You will have money after a large customer of yours pays you, which you expect sometime near the end of the month. The supplier is asking for an update. You have a long-standing relationship with this supplier.","We're expecting a payment from one of our bigger customers towards the end of the month. Once that comes in, we'll be able to take care of your outstanding amount. Thanks for your patience.",,,,,,,
w07_i01,This is a small supplier and you have bigger payments to worry about this month. You are not planning to pay them yet. They have messaged you again. You have a long-standing relationship with this supplier.,"I know this has been pending, but we've got some larger commitments to handle this month. We'll come back to this payment once those are sorted. Thanks for bearing with us.",,,,,,,
w05_i07,Your company requires all supplier bills to be uploaded to a vendor portal. This one is not showing up there. The supplier says they sent it by email. The bill is about three weeks overdue.,"We've received the invoice by email, but it isn't available on the vendor portal. Our accounts team needs it there before they can process the payment. Please upload it when you can.",,,,,,,
w02_i08,Someone else in your office handles this supplier and you are just replying because they messaged your number.,"This account is handled by my colleague. You've reached me directly, so I'll forward your message to them and ask them to get back to you.",,,,,,,
w05_i06,You have no particular reason for not paying and no clear plan for when you will. The supplier has messaged asking for an update. The supplier has messaged you once before about this.,"Sorry, I don't have a confirmed payment date for this yet. Let me check internally and I'll update you once I have something definite.",,,,,,,
w05_i08,You paid this bill a few days ago by bank transfer. The supplier seems not to have noticed and is asking again. The supplier has messaged you once before about this.,This was already paid a few days back through bank transfer. Please check once on your side. I can send the transfer reference if you need it.,,,,,,,
w06_i07,Diwali is coming and your office will be shut for a week. You plan to clear pending bills after reopening. The supplier is asking. The bill is about three weeks overdue.,"We're closing for the Diwali holidays for a week, so the pending bills will be handled once we're back. We'll put yours through after reopening.",,,,,,,
w06_i05,This is a small supplier and you have bigger payments to worry about this month. You are not planning to pay them yet. They have messaged you again. You have only recently started buying from them.,"We have a few larger payments lined up this month, so this one will have to wait for now. I'll keep it in the queue and update you when we can take it up.",,,,,,,
w02_i02,The quality of this batch was not up to standard and your production team has complained. You have not paid. The supplier has messaged. This is the first time they have contacted you about it.,We've had some quality issues with this batch and our production team has flagged them. That's why the payment hasn't been released. Can you please look into this with us?,,,,,,,
w05_i01,You received less material than what the bill says. The supplier is following up on the full amount. You have only recently started buying from them.,The invoice shows more material than we actually received. Can you check the delivery quantity once and revise the bill accordingly?,,,,,,,
