# intent must be one of: promise_to_pay, payment_claim, dispute, document_request, process_deflection, hardship, refusal, acknowledgement, unclear  |  confidence must be 'clear' or 'ambiguous'  |  see docs/CODEBOOK.md  |  do NOT discuss items with the other annotator until both files are complete
item_id,scenario,reply,intent,promised_date_raw,promised_date_resolved,disputed_amount,claimed_utr,documents_requested,confidence
h04_i04,You are not sure whether this bill has been paid or not and you need to check with your accounts person. The supplier is asking. You have a long-standing relationship with this supplier.,"accounts team se confirm karna padega, main abhi check karke bolta hu",,,,,,,
h03_i07,You genuinely forgot about this bill. It is a small amount and you can pay it quickly. The supplier has just messaged. The bill is about three weeks overdue.,arre haan ye bill miss ho gaya tha. abhi dekh ke payment kar deta hu,,,,,,,
h03_i06,You received less material than what the bill says. The supplier is following up on the full amount. The bill is about three weeks overdue.,material jitna receive hua usse zyada ka bill hai. please check once,,,,,,,
h02_i04,You are not sure whether this bill has been paid or not and you need to check with your accounts person. The supplier is asking. You have a long-standing relationship with this supplier.,"check karta hu accounts me, mujhe exact status nahi pata abhi",,,,,,,
h01_i01,Two of the cartons in the last delivery arrived crushed and you had to reject them. Nobody has sent you a corrected bill. The supplier is asking for full payment. The bill is more than three months overdue.,"2 cartons damage aaye the isliye reject kiye the, revised bill abhi tak nahi mila. bhej do pls",,,,,,,
h05_i07,You genuinely forgot about this bill. It is a small amount and you can pay it quickly. The supplier has just messaged. The bill is about three weeks overdue.,"sorry yaar bhul gaya tha iska 😬 small amount hai, jaldi kar deta hu",,,,,,,
h03_i08,You are waiting for your GST filing to be done before releasing payments this month. The supplier has followed up for the second time.,"GST filing hone ka wait hai, uske baad pending payments release honge",,,,,,,
h03_i05,"You could manage the payment if you were allowed to split it over a few months, but not in one go. The supplier is asking for the whole amount. You have a long-standing relationship with this supplier.","full payment abhi possible nahi hai, thoda instalment me karna padega",,,,,,,
h02_i07,You genuinely forgot about this bill. It is a small amount and you can pay it quickly. The supplier has just messaged. The bill is about three weeks overdue.,"sorry yaar completely miss ho gaya tha. chota amount hai, aaj hi kar deta hu",,,,,,,
h03_i02,You paid roughly half of what is owed last week and plan to pay the rest later. The supplier is asking for the full amount. This is the first time they have contacted you about it.,"50% ke aas paas pay kiya tha already, baki baad me clear karunga",,,,,,,
